id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,2024-05-10 14:37:40.858774016,0.862051282051282,-0.30153846153846153,-0.00923076923076923,-2.3194871794871794,40.98448717948718,28.332692307692305
1.0,2024-05-10 14:37:40.865344256,0.86,-0.3,-0.01,-2.26,41.99,28.99
1.0,2024-05-10 14:37:40.874977536,0.86,-0.3,-0.01,-2.26,41.99,28.99
1.0,2024-05-10 14:37:40.884720128,0.86,-0.3,-0.01,-2.26,41.99,28.99
1.0,2024-05-10 14:37:40.894772224,0.8929571984435798,-0.3047081712062257,0.008832684824902725,-6.770428015564202,21.21284046692607,8.904941634241244
1.0,2024-05-10 14:37:40.904557824,0.9299999999999999,-0.31,0.029999999999999995,-11.84,-2.14,-13.67
1.0,2024-05-10 14:37:40.915118848,0.93,-0.31,0.03,-11.84,-2.14,-13.67
1.0,2024-05-10 14:37:40.925568768,0.9232116788321169,-0.31452554744525546,0.028868613138686133,-12.188832116788321,-1.4081751824817519,-12.649452554744524
1.0,2024-05-10 14:37:40.935660800,0.8699999999999999,-0.3499999999999999,0.02,-22.46,20.14,17.4
1.0,2024-05-10 14:37:40.945283840,0.87,-0.35,0.02,-22.46,20.14,17.4
1.0,2024-05-10 14:37:40.955215104,0.87,-0.35,0.02,-22.46,20.14,17.4
1.0,2024-05-10 14:37:40.964785152,0.887948717948718,-0.3508974358974359,0.022692307692307696,-22.46,20.14,17.4
1.0,2024-05-10 14:37:40.974814208,1.07,-0.36,0.05,-7.784816176470588,-5.440955882352942,-2.674080882352941
1.0,2024-05-10 14:37:40.985135616,1.07,-0.36,0.05,-7.509999999999999,-5.92,-3.05
1.0,2024-05-10 14:37:40.995082752,1.07,-0.36,0.05,-7.51,-5.92,-3.05
1.0,2024-05-10 14:37:41.005272832,1.0415830115830116,-0.3564478764478764,0.039343629343629345,-7.776447876447876,-2.6527799227799225,-2.134247104247104
1.0,2024-05-10 14:37:41.015227136,0.99,-0.35,0.02,-8.54,6.71,0.49
1.0,2024-05-10 14:37:41.024708096,0.99,-0.35,0.02,-8.54,6.71,0.49
1.0,2024-05-10 14:37:41.035288064,0.9900000000000001,-0.35,0.02,-8.54,6.71,0.48999999999999994
